"coordinate_id","family","asset_type","scoring_shape","raw_stat_required","forecast_coordinate","documented_commercial_relevance","state_config_support","forecast_support","scoring_engine_support","provider_projection_coverage","uncertainty_calibration","priority","status","gap_reason"
"OFF_REC_TD_50_PLUS","offense","player","event_count_threshold","50+ receiving TD","REC_TD_50_PLUS (new)","Sleeper/ESPN/NFL/Fantrax custom","FULL_RULE_KEY_ONLY","NONE","NONE","not retained","none","P1","UNSUPPORTED",""
"OFF_REC_YARDS_GAME_BUCKET","offense","player","per_game_bucket_distribution","100-199 / 200+ receiving game","REC_YARDS_GAME_DISTRIBUTION (new)","Sleeper/ESPN/NFL/DraftKings","RULE_SCHEMA_INADEQUATE","NONE","NONE","not retained","none","P0","UNSUPPORTED","requires per-game distribution"
"OFF_COMBINED_RUSH_REC_GAME_BUCKET","offense","player","per_game_joint_distribution","combined rush+rec yard milestone","RUSH_REC_JOINT_GAME_DISTRIBUTION (new)","Sleeper custom","RULE_SCHEMA_INADEQUATE","NONE","NONE","not retained","none","P2","UNSUPPORTED","requires joint distribution, not independent marginal means"
"OFF_FUMBLE","offense","player","linear_event_count","fumbles","FUMBLES (new)","Sleeper/ESPN/Yahoo/NFL custom","FULL_RULE_KEY_ONLY","NONE","NONE","historical raw likely available but projection adapters discard","none","P1","UNSUPPORTED","distinct from fumbles lost"
"OFF_FUMBLE_LOST","offense","player","linear_event_count","fumbles lost","FUMBLES_LOST","major defaults","FULL","FULL","FULL","CBS/NFL/Razzball paths; FFToday absent","existing offense FP calibration when source-complete","P0","FULL","active-rule completeness already fail-closed"
"OFF_FUMBLE_RECOVERY","offense","player","linear_event_count","offensive/special fumble recovery","FUMBLE_RECOVERY (new)","Sleeper/Fantrax custom","FULL_RULE_KEY_ONLY","PROVISIONAL_PRIOR","PROVISIONAL","not direct","bounded prior only","P2","PARTIAL","replace prior for native support"
"OFF_FUMBLE_RECOVERY_YARDS","offense","player","linear_stat_total","fumble recovery yards","FUMBLE_RECOVERY_YARDS (new)","Fantrax examples","RULE_SCHEMA_CAN_HOLD_KEY","NONE","NONE","not retained","none","P3","UNSUPPORTED","advanced"
"OFF_FUMBLE_RECOVERY_TD","offense","player","linear_event_count","offensive fumble recovery TD","FUMBLE_RECOVERY_TD (new)","ESPN/Yahoo/NFL/Fantrax defaults/custom","FULL_RULE_KEY_ONLY","PROVISIONAL_PRIOR","PROVISIONAL","not direct","bounded prior only","P1","PARTIAL","common enough to preserve direct coordinate"
"OFF_PLAYER_KICK_RETURN_YARDS","special_teams_player","player","linear_stat_total","kick return yards","PLAYER_KICK_RETURN_YARDS (new)","Sleeper/ESPN/Yahoo/NFL/Fantrax custom","FULL_RULE_KEY_ONLY","NONE","NONE","not retained","none","P1","UNSUPPORTED",""
"OFF_PLAYER_PUNT_RETURN_YARDS","special_teams_player","player","linear_stat_total","punt return yards","PLAYER_PUNT_RETURN_YARDS (new)","Sleeper/ESPN/Yahoo/NFL/Fantrax custom","FULL_RULE_KEY_ONLY","NONE","NONE","not retained","none","P1","UNSUPPORTED",""
"OFF_PLAYER_RETURN_TD","special_teams_player","player","linear_event_count","kick/punt/FG return TD","PLAYER_RETURN_TD (new)","Yahoo/NFL/DraftKings defaults; Sleeper/ESPN custom","FULL_RULE_KEY_ONLY","NONE","NONE","not retained","none","P0","UNSUPPORTED","default-scored on multiple major platforms"
"K_FG_ATT","kicking","player:K","linear_event_count","field goal attempts","FG_ATTEMPT","ESPN/Yahoo custom; projection evidence","FULL_RULE_KEY_ONLY","FULL","K_ENGINE_FULL","K ROS/preseason partial","reduced K fingerprint uses attempts","P1","PARTIAL","production provider coverage/rights not broadly cleared"
"K_FG_MADE","kicking","player:K","linear_event_count","field goals made","FG_MADE","major platforms","FULL_RULE_KEY_ONLY","FULL","K_ENGINE_FULL","K source coverage partial","reduced K calibration","P0","PARTIAL","provider authority remains source-specific"
"K_FG_MISS","kicking","player:K","linear_event_count","field goal misses","FG_MISS or exact FGA-FGM","major custom/default variants","FULL_RULE_KEY_ONLY","FULL","K_ENGINE_FULL","can exact-derive if FGA/FGM complete","reduced K calibration","P0","PARTIAL",""
"K_FG_MADE_DISTANCE","kicking","player:K","event_count_bucket_vector","made FG distance bands 0-19..60+","existing FG_MADE_* metrics","Sleeper/ESPN/Yahoo/NFL/Fantrax","FULL_RULE_KEY_ONLY","FULL","K_ENGINE_FULL","partial; 60+ scarce","no full-target calibration","P0","PARTIAL","granular preservation required"
"K_FG_MISS_DISTANCE","kicking","player:K","event_count_bucket_vector","missed FG distance bands","existing FG_MISS_* metrics","Sleeper/ESPN/NFL custom","FULL_RULE_KEY_ONLY","FULL","K_ENGINE_FULL","partial","no full-target calibration","P1","PARTIAL",""
"K_FG_MADE_YARDS","kicking","player:K","linear_stat_total","total successful FG yards / yards over 30","FG_MADE_YARDS / OVER_30","Sleeper/Yahoo options","FULL_RULE_KEY_ONLY","FULL","K_ENGINE_FULL","projection evidence sparse","no full-target calibration","P2","PARTIAL",""
"K_XP_ATT","kicking","player:K","linear_event_count","PAT attempts","XP_ATTEMPT","ESPN custom","FULL_RULE_KEY_ONLY","FULL","K_ENGINE_FULL","partial","none specific","P2","PARTIAL",""
"K_XP_MADE","kicking","player:K","linear_event_count","PAT made","XP_MADE","major defaults","FULL_RULE_KEY_ONLY","FULL","K_ENGINE_FULL","partial","reduced K calibration","P0","PARTIAL",""
"K_XP_MISS","kicking","player:K","linear_event_count","PAT missed","XP_MISS or XPA-XPM","Sleeper/Yahoo custom/default","FULL_RULE_KEY_ONLY","FULL","K_ENGINE_FULL","exact transform possible","none full-target","P1","PARTIAL",""
"DST_SACK","team_defense","team_unit:DST","linear_event_count","team sacks","DST_SACK","major defaults","FULL_RULE_KEY_ONLY","FULL","DST_ENGINE_FULL","K/DST provider paths partial","reduced D/ST calibration","P0","PARTIAL","provider full authority remains source-specific"
"DST_INT","team_defense","team_unit:DST","linear_event_count","team interceptions","DST_INTERCEPTION","major defaults","FULL_RULE_KEY_ONLY","FULL","DST_ENGINE_FULL","partial","reduced D/ST calibration","P0","PARTIAL",""
"DST_FR","team_defense","team_unit:DST","linear_event_count","fumble recoveries","DST_FUMBLE_RECOVERY","major defaults","FULL_RULE_KEY_ONLY","FULL","DST_ENGINE_FULL","partial","outcome reconstruction exists","P0","PARTIAL",""
"DST_FF","team_defense","team_unit:DST","linear_event_count","forced fumbles","DST_FORCED_FUMBLE","Sleeper/ESPN/NFL/Yahoo custom","FULL_RULE_KEY_ONLY","FULL","DST_ENGINE_FULL","partial","outcome reconstruction exists","P1","PARTIAL",""
"DST_SAFETY","team_defense","team_unit:DST","linear_event_count","safeties","DST_SAFETY","major defaults","FULL_RULE_KEY_ONLY","FULL","DST_ENGINE_FULL","partial","outcome reconstruction exists","P0","PARTIAL",""
"DST_BLOCK","team_defense","team_unit:DST","linear_event_count","blocked punt/FG/PAT","DST_BLOCKED_KICK","major defaults/custom","FULL_RULE_KEY_ONLY","FULL","DST_ENGINE_FULL","partial","outcome reconstruction partial","P0","PARTIAL",""
"DST_DEF_TD","team_defense","team_unit:DST","linear_event_count","defensive touchdowns","DST_DEFENSIVE_TD","major defaults","FULL_RULE_KEY_ONLY","FULL","DST_ENGINE_FULL","partial","outcome reconstruction partial","P0","PARTIAL","category-specific TD variants may need semantic adapters"
"DST_DEF_2PT","team_defense","team_unit:DST","linear_event_count","defensive two-point returns","DST_DEFENSIVE_TWO_POINT_RETURN","Sleeper/Fantrax/NFL IDP variants","FULL_RULE_KEY_ONLY","FULL","DST_ENGINE_FULL","sparse","no promoted calibration","P2","PARTIAL",""
"DST_ST_TD","team_defense","team_unit:DST","linear_event_count","team special-teams TD","DST_TEAM_ST_TD","major defaults/custom","FULL_RULE_KEY_ONLY","FULL","DST_ENGINE_FULL","partial","outcome reconstruction return TD","P0","PARTIAL","platform attribution semantics differ"
"DST_ST_FF_FR","team_defense","team_unit:DST","linear_event_count","team ST forced fumble / recovery","DST_TEAM_ST_FORCED_FUMBLE + DST_TEAM_ST_FUMBLE_RECOVERY","Sleeper custom","FULL_RULE_KEY_ONLY","FULL","DST_ENGINE_FULL","sparse","none","P2","PARTIAL",""
"DST_RETURN_YARDS","team_defense","team_unit:DST","linear_stat_total","INT/fumble/block/kick/punt/FG return yards","existing DST_*_RETURN_YARDS metrics","Sleeper/ESPN/Yahoo/NFL custom","FULL_RULE_KEY_ONLY","FULL","DST_ENGINE_FULL","sparse","none","P1","PARTIAL",""
"DST_PRESSURE_COVERAGE","team_defense","team_unit:DST","linear_event_count","tackles/solo/assist/TFL/QB hit/PD/sack yards","existing DST metrics","Sleeper/ESPN/Yahoo/NFL custom","FULL_RULE_KEY_ONLY","FULL","DST_ENGINE_FULL","sparse","none","P2","PARTIAL","team-unit metrics cannot substitute for IDP player metrics"
"DST_DRIVE_OUTCOMES","team_defense","team_unit:DST","linear_event_count","3-and-out / 4th-down stop / forced punt","existing DST metrics","Sleeper/Yahoo custom","FULL_RULE_KEY_ONLY","FULL","DST_ENGINE_FULL","sparse","none","P2","PARTIAL",""
"DST_POINTS_ALLOWED_LINEAR","team_defense","team_unit:DST","linear_stat_total","fantasy-platform points allowed total","DST_POINTS_ALLOWED (new) or semantic event model","Sleeper/ESPN custom per point","RULE_SCHEMA_CAN_HOLD_KEY","NONE","NONE","aggregate source exists but semantics vary","none","P2","UNSUPPORTED","add canonical semantic profile + linear coordinate"
"DST_POINTS_ALLOWED_BUCKET","team_defense","team_unit:DST","per_game_bucket_distribution","platform-defined points allowed buckets","TeamUnitDistributionalEvidence:points_allowed","major defaults","RULE_SCHEMA_PARTIAL","DISTRIBUTIONAL","DST_ENGINE_FULL","distribution evidence scarce","no full-target calibration","P0","PARTIAL","platform attribution semantics profile required"
"DST_YARDS_ALLOWED_LINEAR","team_defense","team_unit:DST","linear_stat_total","total yards allowed","DST_YARDS_ALLOWED (new)","Sleeper/ESPN custom per yard","RULE_SCHEMA_CAN_HOLD_KEY","NONE","NONE","aggregate source exists","none","P2","UNSUPPORTED",""
"DST_YARDS_ALLOWED_BUCKET","team_defense","team_unit:DST","per_game_bucket_distribution","yards allowed bucket outcome","TeamUnitDistributionalEvidence:yards_allowed","Sleeper/ESPN/NFL/Fantrax custom","RULE_SCHEMA_PARTIAL","DISTRIBUTIONAL","DST_ENGINE_FULL","distribution evidence scarce","no full-target calibration","P1","PARTIAL",""
"IDP_TACKLE","idp","player:defense","linear_event_count","tackles","IDP_TACKLES (new)","Sleeper/ESPN/NFL/Fantrax/MFL custom","STATE_POSITION_UNSUPPORTED","NONE","NONE","none","none","P1","UNSUPPORTED","requires defensive player positions/slots + Forecast family"
"IDP_SOLO","idp","player:defense","linear_event_count","solo tackles","IDP_SOLO_TACKLES (new)","Sleeper/ESPN/NFL/Yahoo/Fantrax/MFL","STATE_POSITION_UNSUPPORTED","NONE","NONE","none","none","P1","UNSUPPORTED",""
"IDP_ASSIST","idp","player:defense","linear_event_count","assisted tackles","IDP_ASSISTED_TACKLES (new)","Sleeper/ESPN/NFL/Yahoo/Fantrax/MFL","STATE_POSITION_UNSUPPORTED","NONE","NONE","none","none","P1","UNSUPPORTED",""
"IDP_SACK","idp","player:defense","linear_event_count","sacks","IDP_SACKS (new)","major IDP platforms","STATE_POSITION_UNSUPPORTED","NONE","NONE","none","none","P1","UNSUPPORTED",""
"IDP_SACK_YARDS","idp","player:defense","linear_stat_total","sack yards","IDP_SACK_YARDS (new)","Sleeper/NFL custom","STATE_POSITION_UNSUPPORTED","NONE","NONE","none","none","P2","UNSUPPORTED",""
"IDP_TFL_QBHIT_PD","idp","player:defense","linear_event_count","TFL / QB hit / pass defended","IDP_TFL + IDP_QB_HIT + IDP_PASS_DEFENDED (new)","Sleeper/ESPN/NFL/Yahoo","STATE_POSITION_UNSUPPORTED","NONE","NONE","none","none","P1","UNSUPPORTED",""
"IDP_INT_RET","idp","player:defense","event_count_and_yards","INT + return yards + TD","IDP_INT / RETURN_YARDS / TD (new)","Sleeper/ESPN/NFL/Yahoo","STATE_POSITION_UNSUPPORTED","NONE","NONE","none","none","P1","UNSUPPORTED",""
"IDP_FUMBLE","idp","player:defense","event_count_and_yards","FF/FR/return yards/TD","IDP_FF / FR / RETURN_YARDS / TD (new)","Sleeper/ESPN/NFL/Yahoo","STATE_POSITION_UNSUPPORTED","NONE","NONE","none","none","P1","UNSUPPORTED",""
"IDP_SAFETY_BLOCK","idp","player:defense","linear_event_count","safety / blocked kick","IDP_SAFETY / BLOCKED_KICK (new)","Sleeper/ESPN/NFL/Yahoo","STATE_POSITION_UNSUPPORTED","NONE","NONE","none","none","P1","UNSUPPORTED",""
"IDP_THRESHOLD_BONUS","idp","player:defense","per_game_threshold_probability","10+ tackle / 2+ sack / 3+ PD / long return bonuses","IDP_GAME_DISTRIBUTIONS (new)","Sleeper custom; MFL conditional capability","STATE_POSITION_UNSUPPORTED","NONE","NONE","none","none","P2","UNSUPPORTED","nonlinear distribution required"
"PUNT_CORE","punting","player:P","linear_stat_total","punts / punt yards / inside10/20 / blocks / returns / return yards / touchbacks / fair catches","PUNTER_* (new)","ESPN custom; MFL position support","STATE_POSITION_UNSUPPORTED","NONE","NONE","none","none","P3","UNSUPPORTED","new position + Forecast family"
"PUNT_AVG_BUCKET","punting","player:P","per_game_bucket_distribution","punt-average ranges","PUNT_AVG_GAME_DISTRIBUTION (new)","ESPN custom","STATE_POSITION_UNSUPPORTED","NONE","NONE","none","none","P3","UNSUPPORTED",""
"COACH_RESULT_MARGIN","head_coach","team/coach","event_and_bucket","win/loss/tie, points scored, margin buckets","COACH_GAME_RESULT_DISTRIBUTION (new)","ESPN custom; MFL head coach position","STATE_POSITION_UNSUPPORTED","NONE","NONE","none","none","P3","UNSUPPORTED","low initial priority; architecture must fail closed explicitly"
"RULE_POSITION_RECEPTION_BONUS","rule_meta","player","position_predicate","receptions plus primary-position predicate","RECEPTIONS + subject position","Sleeper position PPR; Fantrax position scoring","RULE_SCHEMA_INADEQUATE","UNDERLYING_FULL","NONE","underlying rec projections exist","underlying calibration exists","P0","UNSUPPORTED","do not duplicate Forecast stats; add scoring predicate"
"RULE_POSITION_FIRST_DOWN_BONUS","rule_meta","player","position_predicate","first down plus primary-position predicate","FIRST_DOWN metric + subject position","Sleeper custom","RULE_SCHEMA_INADEQUATE","UNDERLYING_MISSING","NONE","none","none","P2","UNSUPPORTED",""
"RULE_FRACTIONAL_POLICY","rule_meta","league","quantization_policy","fractional vs whole-unit yardage scoring","underlying yardage distribution","Yahoo/NFL settings; other platforms vary","RULE_SCHEMA_INADEQUATE","UNDERLYING_TOTAL_ONLY","CONTINUOUS_ONLY","n/a","existing calibration assumes current scoring","P1","UNSUPPORTED","non-fractional per-game floor is nonlinear"
"RULE_NEGATIVE_YARDAGE_POLICY","rule_meta","league","clamp_policy","allow/disable negative yardage fantasy points","underlying yardage distribution","Yahoo/NFL settings","RULE_SCHEMA_INADEQUATE","UNDERLYING_TOTAL_ONLY","NONE","n/a","none","P2","UNSUPPORTED",""
"RULE_THRESHOLD_BONUS","rule_meta","player","threshold_predicate","per-game yard/volume threshold","per-game distribution","Sleeper/ESPN/NFL/DraftKings/Yahoo custom/default","RULE_SCHEMA_INADEQUATE","NONE","NONE","not retained","none","P0","UNSUPPORTED","high commercial relevance because DraftKings best ball uses yardage bonuses"
"RULE_STACKING_POLICY","rule_meta","league","stacking_policy","whether nested bonuses/bands stack","event/bucket evidence","Sleeper/Yahoo/NFL/Fantrax","RULE_SCHEMA_INADEQUATE","VARIES","NONE","n/a","none","P1","UNSUPPORTED","must be explicit not implicit platform code"
"RULE_CONDITIONAL","rule_meta","player/team","conditional_predicate","e.g. completion % >=50% with >=20 attempts","joint distribution of referenced stats","MFL advanced","RULE_SCHEMA_INADEQUATE","NONE","NONE","none","none","P3","UNSUPPORTED","representable architecture; fail closed initially if no joint evidence"
"RULE_PLATFORM_SEMANTICS","rule_meta","team_unit:DST","semantic_profile","platform definition of points/yards allowed and ST attribution","play/event model or provider-native distribution under profile","Yahoo/Sleeper/ESPN/NFL differ","RULE_SCHEMA_INADEQUATE","PARTIAL","PLATFORM_ASSUMPTION","partial","none","P0","UNSUPPORTED","semantic profile must be explicit in league adapter"
