"platform","scope_or_preset","rule_family","registry_coordinates","default_or_custom","raw_stat_required","forecast_requirement","current_fsffl_status","exact_transform","nonlinear_or_predicate","primary_source","notes"
"ESPN","LM custom","passing volume","OFF_PASS_ATT;OFF_PASS_COMP;OFF_PASS_INCOMP;OFF_PASS_SACK_TAKEN","custom","counts","new metrics","UNSUPPORTED","INCOMP exact difference if complete","no","https://support.espn.com/hc/en-us/articles/360003914032-Scoring-Formats",""
"ESPN","LM custom","targets","OFF_TARGETS","custom","targets","new metric","UNSUPPORTED","none","no","https://support.espn.com/hc/en-us/articles/360003914032-Scoring-Formats",""
"ESPN","LM custom","big-play/milestone bonuses","OFF_PASS_TD_40_PLUS;OFF_PASS_TD_50_PLUS;OFF_RUSH_TD_40_PLUS;OFF_RUSH_TD_50_PLUS;OFF_REC_TD_40_PLUS;OFF_REC_TD_50_PLUS;OFF_PASS_YARDS_GAME_BUCKET;OFF_RUSH_YARDS_GAME_BUCKET;OFF_REC_YARDS_GAME_BUCKET","custom","long-play counts/per-game totals","events + bucket distributions","UNSUPPORTED","none","yes","https://support.espn.com/hc/en-us/articles/360003914032-Scoring-Formats",""
"ESPN","standard/custom","kicking","K_FG_ATT;K_FG_MADE;K_FG_MISS;K_FG_MADE_DISTANCE;K_XP_ATT;K_XP_MADE;K_XP_MISS","default+custom","kick events/distance","existing K metrics","PARTIAL","exact differences possible","mixed","https://support.espn.com/hc/en-us/articles/360003914032-Scoring-Formats","standard has distinct 60+ band"
"ESPN","LM custom","punting","PUNT_CORE;PUNT_AVG_BUCKET","custom","punting counts/yards/per-game average","new position/family","UNSUPPORTED","none","mixed","https://support.espn.com/hc/en-us/articles/360003914032-Scoring-Formats",""
"ESPN","standard/custom","D/ST","DST_SACK;DST_INT;DST_FR;DST_FF;DST_SAFETY;DST_BLOCK;DST_DEF_TD;DST_ST_TD;DST_RETURN_YARDS;DST_PRESSURE_COVERAGE;DST_POINTS_ALLOWED_LINEAR;DST_POINTS_ALLOWED_BUCKET;DST_YARDS_ALLOWED_LINEAR;DST_YARDS_ALLOWED_BUCKET","default+custom","team events and PA/YA","existing + new linear PA/YA","PARTIAL","none","mixed","https://support.espn.com/hc/en-us/articles/360003914032-Scoring-Formats",""
"ESPN","LM custom","IDP","IDP_TACKLE;IDP_SOLO;IDP_ASSIST;IDP_SACK;IDP_TFL_QBHIT_PD;IDP_INT_RET;IDP_FUMBLE;IDP_SAFETY_BLOCK","custom","individual defensive stats","new IDP family","UNSUPPORTED","none","no","https://support.espn.com/hc/en-us/articles/360003914032-Scoring-Formats",""
"ESPN","LM custom","head coach","COACH_RESULT_MARGIN","custom","team results/points/margins","new team/coach family","UNSUPPORTED","none","yes:margin buckets","https://support.espn.com/hc/en-us/articles/360003914032-Scoring-Formats","commercially lower priority"
"Yahoo","default","core offense","OFF_PASS_YARDS;OFF_PASS_TD;OFF_PASS_INT;OFF_RUSH_YARDS;OFF_RUSH_TD;OFF_REC;OFF_REC_YARDS;OFF_REC_TD;OFF_PLAYER_RETURN_TD;OFF_FUMBLE_RECOVERY_TD;OFF_FUMBLE_LOST","default","core totals/events","existing + return/fumble recovery TD additions","PARTIAL","none","no","https://help.yahoo.com/kb/fantasy-football/yahoo-league-sln6489.html","default is 0.5 PPR"
"Yahoo","default","kicking","K_FG_MADE_DISTANCE;K_XP_MADE","default","kick events/distance","existing K metrics","PARTIAL","0-39 can aggregate equal coefficients","no","https://help.yahoo.com/kb/fantasy-football/yahoo-league-sln6489.html",""
"Yahoo","default","D/ST","DST_SACK;DST_INT;DST_FR;DST_DEF_TD;DST_SAFETY;DST_BLOCK;DST_ST_TD;DST_POINTS_ALLOWED_BUCKET","default","team events + PA bucket","existing D/ST evidence","PARTIAL","none","yes:PA","https://help.yahoo.com/kb/fantasy-football/yahoo-league-sln6489.html",""
"Yahoo","custom categories","passing volume/pick six","OFF_PASS_ATT;OFF_PASS_COMP;OFF_PASS_INCOMP;OFF_PASS_SACK_TAKEN;OFF_PASS_PICK6_THROWN;OFF_PASS_COMPLETION_40_PLUS","custom","counts/events","new metrics","UNSUPPORTED","INCOMP difference exact if complete","mixed","https://help.yahoo.com/kb/SLN6490.html",""
"Yahoo","custom categories","rushing attempts / returns","OFF_RUSH_ATT;OFF_PLAYER_KICK_RETURN_YARDS;OFF_PLAYER_PUNT_RETURN_YARDS;OFF_PLAYER_RETURN_TD","custom","counts/yards","new metrics","UNSUPPORTED","none","no","https://help.yahoo.com/kb/SLN6490.html",""
"Yahoo","custom","bonus thresholds","RULE_THRESHOLD_BONUS","custom","per-game distributions","bucket probabilities","UNSUPPORTED","none","yes","https://help.yahoo.com/kb/fantasy-football/SLN6441.html","Yahoo bonuses can be cumulative"
"Yahoo","custom","fractional/negative policies","RULE_FRACTIONAL_POLICY;RULE_NEGATIVE_YARDAGE_POLICY","custom","league scoring policy","policy-aware scorer","UNSUPPORTED","not just coefficient","yes when fractional off","https://help.yahoo.com/kb/fantasy-football/SLN6441.html",""
"Yahoo","custom","IDP","IDP_SOLO;IDP_ASSIST;IDP_SACK;IDP_TFL_QBHIT_PD;IDP_INT_RET;IDP_FUMBLE;IDP_SAFETY_BLOCK","custom","individual defense stats","new IDP family","UNSUPPORTED","none","no","https://help.yahoo.com/kb/SLN6490.html",""
"NFL Fantasy","default","core offense","OFF_PASS_YARDS;OFF_PASS_TD;OFF_PASS_INT;OFF_RUSH_YARDS;OFF_RUSH_TD;OFF_REC;OFF_REC_YARDS;OFF_REC_TD;OFF_PLAYER_RETURN_TD;OFF_FUMBLE_RECOVERY_TD;OFF_PASS_2PT;OFF_RUSH_2PT;OFF_REC_2PT;OFF_FUMBLE_LOST","default","core totals/events","existing + direct 2PT/return coords","PARTIAL","2PT currently prior","no","https://support.nfl.com/hc/en-us/articles/35869730981140-Scoring",""
"NFL Fantasy","default","kicking","K_XP_MADE;K_FG_MADE_DISTANCE","default","kick events/distance","existing K metrics","PARTIAL","0-49 equal band may aggregate if exact","no","https://support.nfl.com/hc/en-us/articles/35869730981140-Scoring",""
"NFL Fantasy","default","D/ST","DST_SACK;DST_INT;DST_FR;DST_SAFETY;DST_DEF_TD;DST_ST_TD;DST_POINTS_ALLOWED_BUCKET","default","team events + PA buckets","existing D/ST","PARTIAL","none","yes:PA","https://support.nfl.com/hc/en-us/articles/35869730981140-Scoring",""
"NFL Fantasy","custom","volume / milestones / big play","OFF_PASS_ATT;OFF_PASS_COMP;OFF_PASS_INCOMP;OFF_PASS_SACK_TAKEN;OFF_RUSH_ATT;OFF_PASS_YARDS_GAME_BUCKET;OFF_RUSH_YARDS_GAME_BUCKET;OFF_REC_YARDS_GAME_BUCKET;OFF_PASS_TD_40_PLUS;OFF_PASS_TD_50_PLUS;OFF_RUSH_TD_40_PLUS;OFF_RUSH_TD_50_PLUS;OFF_REC_TD_40_PLUS;OFF_REC_TD_50_PLUS","custom","counts + per-game distributions","new metrics/distributions","UNSUPPORTED","none","mixed","https://support.nfl.com/hc/en-us/articles/35869730981140-Scoring",""
"NFL Fantasy","custom","returns/fumbles","OFF_PLAYER_KICK_RETURN_YARDS;OFF_PLAYER_PUNT_RETURN_YARDS;OFF_FUMBLE","custom","yards/events","new metrics","UNSUPPORTED","none","no","https://support.nfl.com/hc/en-us/articles/35869730981140-Scoring",""
"NFL Fantasy","custom","D/ST YA/FF/blocks","DST_FF;DST_BLOCK;DST_RETURN_YARDS;DST_YARDS_ALLOWED_BUCKET","custom","team events + YA buckets","existing D/ST metrics/distributions","PARTIAL","none","yes:YA","https://support.nfl.com/hc/en-us/articles/35869730981140-Scoring",""
"NFL Fantasy","custom","IDP","IDP_TACKLE;IDP_ASSIST;IDP_SACK;IDP_SACK_YARDS;IDP_TFL_QBHIT_PD;IDP_INT_RET;IDP_FUMBLE;IDP_SAFETY_BLOCK","custom","individual defense stats","new IDP family","UNSUPPORTED","none","no","https://support.nfl.com/hc/en-us/articles/35869730981140-Scoring",""
"CBS","Commissioner current","custom scoring categories","REGISTRY_WIDE","custom","CBS says hundreds of categories","coordinate registry + adapters","UNKNOWN/PARTIAL","unknown without authenticated category inventory","unknown","https://www.cbssports.com/fantasy/football/games/commissioner/frequently-asked-questions","current public primary source does not enumerate the hundreds; do not infer exact CBS support beyond proven pages"
"CBS","current product","custom category creation","RULE_STACKING_POLICY;RULE_THRESHOLD_BONUS and raw stat families as configured","custom","rule-engine category configuration","extensible rule contract","UNSUPPORTED_ARCHITECTURE","n/a","varies","https://www.cbssports.com/fantasy/games/football/","supports custom categories but exact current exhaustive inventory requires in-product/authenticated audit"
"Fantrax","observed configurable leagues","linear offense / K / D/ST","OFF_PASS_YARDS;OFF_PASS_TD;OFF_PASS_INT;OFF_RUSH_YARDS;OFF_RUSH_TD;OFF_REC;OFF_REC_YARDS;OFF_REC_TD;K_FG_MADE_DISTANCE;K_XP_MADE;DST_SACK;DST_INT;DST_FR;DST_SAFETY;DST_DEF_TD;DST_POINTS_ALLOWED_BUCKET;DST_YARDS_ALLOWED_BUCKET","custom engine examples","core totals/events/buckets","existing + distributional","PARTIAL","none","mixed","https://www.fantrax.com/newui/fantasy/leagueRulesSummary.go?leagueId=ffsrevmxlla2o7qg","examples prove engine capability, not prevalence"
"Fantrax","observed configurable leagues","position-sensitive scoring","RULE_POSITION_RECEPTION_BONUS","custom","base stat + position predicate","position-aware scoring rule","UNSUPPORTED","existing receptions reusable","predicate","https://www.fantrax.com/newui/fantasy/leagueRulesSummary.go?leagueId=fdavzrsnlljlfdvc",""
"Fantrax","observed configurable leagues","first downs / returns / YAC / long plays","OFF_PASS_FIRST_DOWN;OFF_RUSH_FIRST_DOWN;OFF_REC_FIRST_DOWN;OFF_PLAYER_KICK_RETURN_YARDS;OFF_PASS_PICK6_THROWN;OFF_PASS_TD_40_PLUS;OFF_PASS_TD_50_PLUS;OFF_REC_DISTANCE_BUCKET","custom","advanced player events","new metrics","UNSUPPORTED","none","mixed","https://www.fantrax.com/newui/fantasy/leagueRulesSummary.go?leagueId=k30uve3qlm0maauq","proof of commercially relevant flexibility"
"Fantrax","observed configurable leagues","IDP","IDP_SOLO;IDP_ASSIST;IDP_SACK;IDP_INT_RET;IDP_FUMBLE;IDP_SAFETY_BLOCK","custom","individual defense stats","new IDP family","UNSUPPORTED","none","no","https://www.fantrax.com/newui/fantasy/leagueRulesSummary.go?leagueId=156re5e1j615yrqa",""
"MyFantasyLeague","platform feature","positions","IDP_*;PUNT_CORE;COACH_RESULT_MARGIN","custom","many player/team subject types","State subject/position expansion","UNSUPPORTED","n/a","n/a","https://php01.myfantasyleague.com/wp-new/feature-list/","supports punters, kick returners, head coaches, team offense and IDP positions"
"MyFantasyLeague","platform feature","length-based TD / conditional scoring","RULE_CONDITIONAL;RULE_STACKING_POLICY;OFF_PASS_TD_40_PLUS;OFF_RUSH_TD_40_PLUS;OFF_REC_TD_40_PLUS","custom","multiple referenced stats and predicates","conditional/joint evidence","UNSUPPORTED","none","yes","https://php01.myfantasyleague.com/wp-new/feature-list/","example: completion percentage threshold conditioned on attempts"
"DraftKings Best Ball","2026 contest scoring","core PPR","OFF_PASS_YARDS;OFF_PASS_TD;OFF_PASS_INT;OFF_RUSH_YARDS;OFF_RUSH_TD;OFF_REC;OFF_REC_YARDS;OFF_REC_TD;OFF_PLAYER_RETURN_TD;OFF_FUMBLE_LOST;OFF_PASS_2PT;OFF_RUSH_2PT;OFF_REC_2PT;OFF_FUMBLE_RECOVERY_TD","default contest","core totals/events","existing + missing direct rare events","PARTIAL","2PT currently prior","no","https://dknetwork.draftkings.com/2026/05/19/draftkings-best-ball-fantasy-football-guide/","best-ball lineup selection is downstream; scoring coords are portable"
"DraftKings Best Ball","2026 contest scoring","yardage milestone bonuses","OFF_PASS_YARDS_GAME_BUCKET;OFF_RUSH_YARDS_GAME_BUCKET;OFF_REC_YARDS_GAME_BUCKET","default contest","weekly yardage distributions","per-game bucket probabilities","UNSUPPORTED","none","yes","https://dknetwork.draftkings.com/2026/05/19/draftkings-best-ball-fantasy-football-guide/","makes threshold distributions P0 commercial gap"
